Item,"Highlighted Text",Notes,Date,Rating,"Flesch Reading Ease","Flesch Kincaid Grade Level","Gunning Fog Score","Coleman Liau Index","SMOG Index","Automated Readability Index","Spache Readability Score","Dale-Chall Readability Score","FORCAST Grade Level","Fry Grade Level","Raygor Grade Level","Lensear Write","Lix Score","Rix Score","Powers Sumner Kearl Grade","CEFR Level","IELTS Level","Paragraph Count","Sentence Count","Sentence Count (Flesch)","Letter Count","Word Count","Words With Six Letters","Words With Seven Letters","Words With One Syllable","Dale-Chall Difficult Words","Spache Difficult Words","Unique Word Count","Syllable Count","Words Per Sentence","Words Per Paragraph","Sentences Per Paragraph","Syllables Per Word","Letters Per Word","Spelling Error Count","Grammar Error Count","Very Long Sentence Count","Long Sentence Count","Passive Voice Count","Adverb Count","Cliche Count","Hedge Word Count","Transition Word Count","Profanity Count","Buzzwords Count","Lazy Words Count","Names Count","Stopwords Count","Long Word Count","High Syllable Word Count","Composition Adjective Count","Composition Adverb Count","Composition Conjunction Count","Composition Determiner Count","Composition Interjection Count","Composition Noun Count","Composition Preposition Count","Composition Pronoun Count","Composition Proper Noun Count","Composition Qualifier Count","Composition Verb Count","Composition Unknown Count","Composition Nonword Count","Reading Time","Speaking Time",Reach,Sentiment,"Sentiment Number",Tone,"Tone Number",Personalism,"Personalism Number"
"All Items (sites.csv)",n/a,,2026-01-15T17:08:28+00:00,B,51.60,9.20,10.00,11.90,12.20,9.00,3.20,6.60,11.30,10.00,10.00,76.90,42.00,9.00,5.40,C2,8+,682,909,925,59286,11605,4440,3472,6754,4357,1357,2151,19545,12.8,17.0,1.3,1.7,5.1,141,112,174,364,79,152,0,0,0,0,0,0,0,0,32,117,921,148,1191,1010,32,4752,1325,653,735,37,1545,133,13,51:34,92:50,91%,Negative,26,Formal,15,Personal,89
https://www.eliquis.bmscustomerconnect.com/,https://app.readable.com/result/batch/pYQ5sA82/view/5A8RE7tu/,"We couldn't extract the content from this URL so we scored the whole page.",2026-01-15T17:08:28+00:00,A,57.26,8.02,9.14,10.90,11.27,7.69,2.64,6.41,10.99,0.00,0.00,81.98,39.50,8.00,5.21,C2,8+,501,612,621,34302,6875,2528,1943,4128,2549,520,780,11242,11.2,13.7,1.2,1.6,5.0,38,62,80,210,53,90,0,0,0,0,0,0,0,0,15,44,540,89,674,591,18,2762,775,398,426,24,961,81,5,30:33,55:00,100%,Negative,17,Formal,15,Personal,90
https://patient.boehringer-ingelheim.com/us/products/jardiance/,,"URL disallowed by robots meta tag.",2026-01-15T17:08:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00,0:00,100%,,,,,,
https://www.xarelto-us.com/en/,https://app.readable.com/result/batch/pYQ5sA82/view/8hU57DrZ/,"We couldn't extract the content from this URL so we scored the whole page.",2026-01-15T17:08:28+00:00,B,45.37,8.22,4.85,11.03,10.17,7.22,3.75,6.33,11.81,0.00,0.00,110.77,42.12,6.00,4.21,C2,8+,26,25,25,719,130,57,48,71,50,39,82,240,5.2,5.0,1.0,1.8,5.5,2,1,1,3,0,4,0,0,0,0,0,0,0,0,2,0,4,4,13,7,0,57,17,4,15,1,22,2,0,0:34,1:02,98%,Positive,67,Formal,17,Personal,100
https://www.januvia.com/,,"[Error] We were unable to access this URL because we received a 403: Forbidden error.",2026-01-15T17:08:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00,0:00,100%,,,,,,
https://www.myrbetriq.com/,https://app.readable.com/result/batch/pYQ5sA82/view/t9546j9A/,,2026-01-15T17:08:28+00:00,C,44.15,10.34,11.02,14.25,12.97,11.02,3.01,7.02,11.68,0.00,12.00,74.92,47.35,10.00,5.65,C2,8+,60,100,101,7228,1316,538,450,730,531,122,191,2325,13.2,21.9,1.7,1.8,5.5,96,21,28,52,0,12,0,0,0,0,0,0,0,0,4,14,96,12,124,78,10,738,115,92,106,4,126,8,4,5:50,10:31,82%,Negative,33,Formal,30,Personal,100
https://www.entresto.com/,https://app.readable.com/result/batch/pYQ5sA82/view/gDSXS7A8/,,2026-01-15T17:08:28+00:00,B,51.27,8.88,8.05,13.51,11.58,9.74,4.25,5.55,11.35,0.00,0.00,81.62,41.48,8.00,4.93,C2,8+,17,21,21,1272,234,91,71,135,74,64,136,399,11.1,13.8,1.2,1.7,5.4,0,2,3,7,0,2,0,0,0,0,0,0,0,0,1,4,19,3,18,17,2,108,27,17,16,1,25,2,1,1:02,1:52,93%,Positive,79,Formal,23,Personal,73
https://www.linzess.com/,https://app.readable.com/result/batch/pYQ5sA82/view/74UYez53/,,2026-01-15T17:08:28+00:00,E,26.07,16.59,16.84,13.65,17.92,17.44,5.79,7.66,11.81,0.00,13.00,57.87,60.63,13.00,6.99,C2,8+,26,65,67,9743,1880,756,596,1026,741,374,520,3384,28.9,72.3,2.5,1.8,5.2,0,7,43,53,20,29,0,0,0,0,0,0,0,0,5,45,150,28,241,235,1,621,277,61,119,3,248,25,2,8:21,15:02,36%,Positive,83,,0,Personal,73
https://patient.boehringer-ingelheim.com/us/products/tradjenta/,,"URL disallowed by robots meta tag.",2026-01-15T17:08:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00,0:00,100%,,,,,,
https://www.rybelsus.com/,https://app.readable.com/result/batch/pYQ5sA82/view/eqUj32ME/,,2026-01-15T17:08:28+00:00,B,53.78,8.93,10.76,12.27,12.33,9.62,3.84,6.33,11.59,10.00,12.00,74.97,45.63,9.00,5.66,C2,8+,30,57,61,4006,779,315,249,437,279,145,269,1290,13.7,26.0,1.9,1.7,5.1,3,16,13,27,4,12,0,0,0,0,0,0,0,0,3,3,69,9,80,55,0,306,74,55,35,3,118,10,0,3:27,6:13,93%,Negative,17,Formal,27,Personal,98
